ko:K07064	sis:LS215_2455
ko:K00058	sis:LS215_1403
ko:K07073	sis:LS215_2200
ko:K09715	sis:LS215_2790
ko:K03059	sis:LS215_1788
ko:K00008	sis:LS215_2293
ko:K06957	sis:LS215_1842
ko:K08177	sis:LS215_0371
ko:K08676	sis:LS215_0440
ko:K01990	sis:LS215_0495
ko:K00340	sis:LS215_1913
ko:K02614	sis:LS215_2852
ko:K01897	sis:LS215_2467
ko:K00721	sis:LS215_1015
ko:K06001	sis:LS215_1184
ko:K01990	sis:LS215_1185
ko:K01992	sis:LS215_1186
ko:K07114	sis:LS215_1231
ko:K02224	sis:LS215_1827
ko:K01271	sis:LS215_1880
ko:K03057	sis:LS215_1951
ko:K09737	sis:LS215_1372
ko:K10725	sis:LS215_1992
ko:K01992	sis:LS215_2368
ko:K07405	sis:LS215_1323
ko:K06001	sis:LS215_1419
ko:K07143	sis:LS215_1455
ko:K10725	sis:LS215_1466
ko:K01473	sis:LS215_0888
ko:K01473	sis:LS215_2583
ko:K13280	sis:LS215_1392
ko:K01170	sis:LS215_1794
ko:K04796	sis:LS215_2097
ko:K04796	sis:LS215_1480
ko:K02191	sis:LS215_0110
ko:K12589	sis:LS215_1502
ko:K10725	sis:LS215_0002
ko:K03540	sis:LS215_0042
ko:K03394	sis:LS215_0109
ko:K07332	sis:LS215_0117
ko:K07331	sis:LS215_0118
ko:K02303	sis:LS215_0257
ko:K06984	sis:LS215_1873
ko:K08368	sis:LS215_0796
ko:K00276	sis:LS215_2856
ko:K09685	sis:LS215_2012
ko:K05592	sis:LS215_0918
ko:K03855	sis:LS215_2654
ko:K07496	sis:LS215_0512
ko:K13525	sis:LS215_1814
