ko:K06213	sud:ST398NM01_1004
ko:K00208	sud:ST398NM01_1006
ko:K03310	sud:ST398NM01_1008
ko:K02986	sud:ST398NM01_1772
ko:K01126	sud:ST398NM01_1773
ko:K00655	sud:ST398NM01_1779
ko:K01866	sud:ST398NM01_1781
ko:K01938	sud:ST398NM01_1784
ko:K01895	sud:ST398NM01_1785
ko:K04766	sud:ST398NM01_1786
ko:K04768	sud:ST398NM01_1787
ko:K02529	sud:ST398NM01_1788
ko:K13853	sud:ST398NM01_1790
ko:K01924	sud:ST398NM01_1793
ko:K03466	sud:ST398NM01_1794
ko:K06878	sud:ST398NM01_1795
ko:K03439	sud:ST398NM01_1801
ko:K00824	sud:ST398NM01_1803
ko:K07007	sud:ST398NM01_1808
ko:K01869	sud:ST398NM01_1811
ko:K07139	sud:ST398NM01_1813
ko:K00318	sud:ST398NM01_1818
ko:K00794	sud:ST398NM01_1819
ko:K14652	sud:ST398NM01_1820
ko:K01012	sud:ST398NM01_2478
ko:K00833	sud:ST398NM01_2479
ko:K01935	sud:ST398NM01_2480
ko:K00865	sud:ST398NM01_2484
ko:K00077	sud:ST398NM01_2495
ko:K08170	sud:ST398NM01_2496
ko:K05846	sud:ST398NM01_2497
ko:K05845	sud:ST398NM01_2498
ko:K05846	sud:ST398NM01_2499
ko:K05847	sud:ST398NM01_2500
ko:K02069	sud:ST398NM01_2506
ko:K02068	sud:ST398NM01_2507
ko:K10824	sud:ST398NM01_2513
ko:K15587	sud:ST398NM01_2514
ko:K00266	sud:ST398NM01_0538
ko:K02818	sud:ST398NM01_0540
ko:K02819	sud:ST398NM01_0540
ko:K02343	sud:ST398NM01_0544
ko:K09747	sud:ST398NM01_0545
ko:K06187	sud:ST398NM01_0546
ko:K00943	sud:ST398NM01_0548
ko:K02341	sud:ST398NM01_0550
ko:K07461	sud:ST398NM01_0554
ko:K07056	sud:ST398NM01_0555
ko:K01874	sud:ST398NM01_0556
ko:K03424	sud:ST398NM01_0557
