ko:K01447	bss:BSUW23_06345
ko:K01708	bss:BSUW23_01285
ko:K02529	bss:BSUW23_17650
ko:K06726	bss:BSUW23_17660
ko:K10441	bss:BSUW23_17665
ko:K01575	bss:BSUW23_17695
ko:K01652	bss:BSUW23_17700
ko:K06330	bss:BSUW23_17710
ko:K07007	bss:BSUW23_14565
ko:K06948	bss:BSUW23_12735
ko:K02249	bss:BSUW23_12215
ko:K19689	bss:BSUW23_07430
ko:K14652	bss:BSUW23_11425
ko:K01198	bss:BSUW23_09015
ko:K14647	bss:BSUW23_18820
ko:K02799	bss:BSUW23_02055
ko:K02800	bss:BSUW23_02055
ko:K01759	bss:BSUW23_20350
ko:K01759	bss:BSUW23_13930
ko:K16013	bss:BSUW23_19210
ko:K16012	bss:BSUW23_19205
ko:K11616	bss:BSUW23_15355
ko:K03535	bss:BSUW23_01270
ko:K15468	bss:BSUW23_08860
ko:K02242	bss:BSUW23_17380
ko:K11195	bss:BSUW23_13065
ko:K03284	bss:BSUW23_04050
ko:K01247	bss:BSUW23_04055
ko:K03696	bss:BSUW23_00440
ko:K04485	bss:BSUW23_00445
ko:K02016	bss:BSUW23_04245
ko:K02015	bss:BSUW23_04250
ko:K02015	bss:BSUW23_04255
ko:K07071	bss:BSUW23_04285
ko:K03565	bss:BSUW23_04290
ko:K03575	bss:BSUW23_04345
ko:K10780	bss:BSUW23_04355
ko:K01845	bss:BSUW23_04385
ko:K03564	bss:BSUW23_04390
ko:K03781	bss:BSUW23_04445
ko:K02954	bss:BSUW23_04475
ko:K03216	bss:BSUW23_04505
ko:K07180	bss:BSUW23_04525
ko:K09786	bss:BSUW23_04530
ko:K03809	bss:BSUW23_04555
ko:K03704	bss:BSUW23_04595
