ko:K16705	baml:BAM5036_3194
ko:K00012	baml:BAM5036_3195
ko:K01695	baml:BAM5036_2006
ko:K01696	baml:BAM5036_2007
ko:K01817	baml:BAM5036_2008
ko:K01609	baml:BAM5036_2009
ko:K00766	baml:BAM5036_2010
ko:K01657	baml:BAM5036_2011
ko:K06208	baml:BAM5036_2012
ko:K01735	baml:BAM5036_2013
ko:K01736	baml:BAM5036_2014
ko:K00940	baml:BAM5036_2016
ko:K03183	baml:BAM5036_2018
ko:K06285	baml:BAM5036_2020
ko:K01495	baml:BAM5036_2021
ko:K03530	baml:BAM5036_2022
ko:K06398	baml:BAM5036_2023
ko:K00057	baml:BAM5036_2026
ko:K03977	baml:BAM5036_2027
ko:K02945	baml:BAM5036_2030
ko:K00945	baml:BAM5036_2031
ko:K01449	baml:BAM5036_2035
ko:K00384	baml:BAM5036_2037
ko:K00260	baml:BAM5036_2038
ko:K16511	baml:BAM5036_2039
ko:K03654	baml:BAM5036_2044
ko:K05916	baml:BAM5036_2732
ko:K06153	baml:BAM5036_2736
ko:K05520	baml:BAM5036_2739
ko:K00686	baml:BAM5036_2744
ko:K00459	baml:BAM5036_2746
ko:K06973	baml:BAM5036_2750
ko:K10716	baml:BAM5036_2753
ko:K01810	baml:BAM5036_2756
ko:K09779	baml:BAM5036_2761
ko:K10907	baml:BAM5036_2763
ko:K14155	baml:BAM5036_2767
ko:K07697	baml:BAM5036_2769
ko:K06347	baml:BAM5036_2770
ko:K06348	baml:BAM5036_2771
ko:K06969	baml:BAM5036_3483
ko:K02761	baml:BAM5036_3485
ko:K02548	baml:BAM5036_3490
ko:K03367	baml:BAM5036_3491
ko:K03739	baml:BAM5036_3492
ko:K14188	baml:BAM5036_3493
ko:K03740	baml:BAM5036_3494
ko:K00826	baml:BAM5036_3495
ko:K02759	baml:BAM5036_3497
ko:K02761	baml:BAM5036_3498
ko:K02760	baml:BAM5036_3499
ko:K03652	baml:BAM5036_3501
ko:K02015	baml:BAM5036_3502
ko:K02015	baml:BAM5036_3503
ko:K02016	baml:BAM5036_3504
ko:K03893	baml:BAM5036_3506
ko:K02760	baml:BAM5036_3507
ko:K02759	baml:BAM5036_3508
ko:K02761	baml:BAM5036_3509
ko:K01223	baml:BAM5036_3510
ko:K00847	baml:BAM5036_3511
ko:K01809	baml:BAM5036_3512
ko:K03781	baml:BAM5036_3514
ko:K01442	baml:BAM5036_3515
ko:K00426	baml:BAM5036_3520
ko:K00425	baml:BAM5036_3521
ko:K00563	baml:BAM5036_3533
ko:K16323	baml:BAM5036_3534
ko:K03781	baml:BAM5036_3537
ko:K03300	baml:BAM5036_3538
ko:K01223	baml:BAM5036_3557
ko:K09683	baml:BAM5036_3562
ko:K01745	baml:BAM5036_3563
ko:K01712	baml:BAM5036_3564
ko:K01468	baml:BAM5036_3565
ko:K00756	baml:BAM5036_3568
ko:K11535	baml:BAM5036_3569
ko:K05346	baml:BAM5036_3571
ko:K02016	baml:BAM5036_3578
ko:K11636	baml:BAM5036_3580
ko:K11635	baml:BAM5036_3581
ko:K06606	baml:BAM5036_3590
ko:K06605	baml:BAM5036_3591
ko:K03335	baml:BAM5036_3594
ko:K03336	baml:BAM5036_3595
ko:K03338	baml:BAM5036_3596
ko:K03337	baml:BAM5036_3597
ko:K00140	baml:BAM5036_3598
ko:K06608	baml:BAM5036_3599
ko:K04079	baml:BAM5036_3602
ko:K07693	baml:BAM5036_3604
ko:K07778	baml:BAM5036_3605
ko:K10255	baml:BAM5036_3606
ko:K03387	baml:BAM5036_3617
ko:K11737	baml:BAM5036_3619
ko:K04041	baml:BAM5036_3620
ko:K07141	baml:BAM5036_3624
ko:K00783	baml:BAM5036_3633
ko:K01476	baml:BAM5036_3642
ko:K02205	baml:BAM5036_3643
ko:K06714	baml:BAM5036_3648
ko:K01939	baml:BAM5036_3662
ko:K02939	baml:BAM5036_3675
ko:K00692	baml:BAM5036_3682
ko:K08987	baml:BAM5036_3689
ko:K00019	baml:BAM5036_3698
ko:K06888	baml:BAM5036_3706
ko:K08369	baml:BAM5036_3708
ko:K01142	baml:BAM5036_3711
ko:K13531	baml:BAM5036_3712
ko:K13530	baml:BAM5036_3713
