ko:K03707	saub:C248_2107
ko:K02372	saub:C248_2113
ko:K00790	saub:C248_2114
ko:K02114	saub:C248_2116
ko:K02112	saub:C248_2117
ko:K02115	saub:C248_2118
ko:K02111	saub:C248_2119
ko:K02113	saub:C248_2120
ko:K02109	saub:C248_2121
ko:K02110	saub:C248_2122
ko:K02108	saub:C248_2123
ko:K00761	saub:C248_2126
ko:K00600	saub:C248_2127
ko:K07566	saub:C248_2130
ko:K02493	saub:C248_2131
ko:K02835	saub:C248_2132
ko:K02909	saub:C248_2134
ko:K03628	saub:C248_2135
ko:K00790	saub:C248_2138
ko:K01624	saub:C248_2139
ko:K01735	saub:C248_1505
ko:K01736	saub:C248_1506
ko:K00940	saub:C248_1508
ko:K03183	saub:C248_1510
ko:K03530	saub:C248_1512
ko:K00057	saub:C248_1513
ko:K03977	saub:C248_1514
ko:K02945	saub:C248_1515
ko:K00945	saub:C248_1518
ko:K03654	saub:C248_1522
ko:K07651	saub:C248_1531
ko:K07775	saub:C248_1532
ko:K06178	saub:C248_1533
ko:K06024	saub:C248_1534
ko:K05896	saub:C248_1535
ko:K07124	saub:C248_1542
ko:K03453	saub:C248_2363
ko:K02749	saub:C248_2365
ko:K02750	saub:C248_2365
ko:K03481	saub:C248_2366
ko:K01468	saub:C248_2373
ko:K01712	saub:C248_2374
ko:K01807	saub:C248_2378
ko:K09771	saub:C248_2382
ko:K03652	saub:C248_2386
ko:K03312	saub:C248_2388
ko:K03284	saub:C248_2390
ko:K07107	saub:C248_2391
ko:K07552	saub:C248_2400
ko:K00116	saub:C248_2410
ko:K03303	saub:C248_2411
ko:K03704	saub:C248_0886
ko:K06895	saub:C248_0894
ko:K03785	saub:C248_0897
ko:K02437	saub:C248_0901
ko:K07476	saub:C248_0904
ko:K02071	saub:C248_0906
ko:K02072	saub:C248_0907
ko:K02073	saub:C248_0908
ko:K09013	saub:C248_0911
ko:K09015	saub:C248_0912
ko:K11717	saub:C248_0913
ko:K09014	saub:C248_0915
ko:K00459	saub:C248_0919
ko:K07090	saub:C248_0922
ko:K03644	saub:C248_0924
ko:K03367	saub:C248_0931
ko:K03739	saub:C248_0932
ko:K14188	saub:C248_0933
ko:K03740	saub:C248_0934
ko:K00925	saub:C248_1752
ko:K11065	saub:C248_1754
ko:K07090	saub:C248_1755
ko:K03151	saub:C248_1756
ko:K04487	saub:C248_1757
ko:K02986	saub:C248_1760
ko:K01126	saub:C248_1761
ko:K00655	saub:C248_1769
ko:K01866	saub:C248_1771
ko:K01938	saub:C248_1776
ko:K01895	saub:C248_1777
ko:K04766	saub:C248_1778
ko:K04768	saub:C248_1779
