ko:K11535	sux:SAEMRSA15_04470
ko:K03696	sux:SAEMRSA15_04510
ko:K04485	sux:SAEMRSA15_04520
ko:K00640	sux:SAEMRSA15_04550
ko:K01883	sux:SAEMRSA15_04560
ko:K11145	sux:SAEMRSA15_04570
ko:K03218	sux:SAEMRSA15_04580
ko:K06962	sux:SAEMRSA15_04590
ko:K03091	sux:SAEMRSA15_04600
ko:K02913	sux:SAEMRSA15_04610
ko:K03073	sux:SAEMRSA15_04620
ko:K02601	sux:SAEMRSA15_04630
ko:K02867	sux:SAEMRSA15_04640
ko:K02863	sux:SAEMRSA15_04650
ko:K02864	sux:SAEMRSA15_04660
ko:K02935	sux:SAEMRSA15_04670
ko:K03704	sux:SAEMRSA15_12650
ko:K01512	sux:SAEMRSA15_12670
ko:K03311	sux:SAEMRSA15_12700
ko:K00658	sux:SAEMRSA15_12750
ko:K00164	sux:SAEMRSA15_12760
ko:K02563	sux:SAEMRSA15_12810
ko:K03797	sux:SAEMRSA15_12830
ko:K09125	sux:SAEMRSA15_12950
ko:K08170	sux:SAEMRSA15_12980
ko:K01754	sux:SAEMRSA15_13000
ko:K00259	sux:SAEMRSA15_13010
ko:K07444	sux:SAEMRSA15_13060
ko:K05366	sux:SAEMRSA15_13110
ko:K10773	sux:SAEMRSA15_13130
ko:K07173	sux:SAEMRSA15_20420
ko:K00756	sux:SAEMRSA15_20440
ko:K04047	sux:SAEMRSA15_20470
ko:K01809	sux:SAEMRSA15_20510
ko:K02013	sux:SAEMRSA15_20600
ko:K00820	sux:SAEMRSA15_20610
ko:K00009	sux:SAEMRSA15_20650
ko:K03431	sux:SAEMRSA15_20670
ko:K01476	sux:SAEMRSA15_20700
ko:K11068	sux:SAEMRSA15_20750
ko:K07038	sux:SAEMRSA15_20770
ko:K02160	sux:SAEMRSA15_15250
