ko:K03609	cbm:CBF_3042
ko:K03610	cbm:CBF_3043
ko:K05515	cbm:CBF_3044
ko:K03571	cbm:CBF_3045
ko:K03570	cbm:CBF_3046
ko:K03569	cbm:CBF_3047
ko:K03630	cbm:CBF_3048
ko:K06287	cbm:CBF_3049
ko:K06209	cbm:CBF_3054
ko:K08309	cbm:CBF_3056
ko:K00859	cbm:CBF_3057
ko:K01736	cbm:CBF_3059
ko:K01448	cbm:CBF_3060
ko:K01776	cbm:CBF_3750
ko:K01915	cbm:CBF_3751
ko:K00790	cbm:CBF_3753
ko:K00783	cbm:CBF_3757
ko:K01265	cbm:CBF_3762
ko:K01012	cbm:CBF_3773
ko:K01775	cbm:CBF_3565
ko:K02313	cbm:CBF_0001
ko:K02338	cbm:CBF_0002
ko:K03629	cbm:CBF_0004
ko:K02470	cbm:CBF_0006
ko:K02469	cbm:CBF_0007
ko:K01875	cbm:CBF_0021
ko:K01462	cbm:CBF_0927
ko:K00375	cbm:CBF_0928
ko:K01223	cbm:CBF_0934
ko:K02003	cbm:CBF_0941
ko:K13653	cbm:CBF_0950
ko:K10536	cbm:CBF_0951
ko:K03523	cbm:CBF_0964
ko:K02231	cbm:CBF_0968
ko:K02227	cbm:CBF_0973
ko:K02007	cbm:CBF_0975
ko:K02304	cbm:CBF_0978
ko:K01749	cbm:CBF_0979
ko:K01448	cbm:CBF_1858
ko:K02406	cbm:CBF_2754
ko:K02406	cbm:CBF_2773
ko:K02407	cbm:CBF_2775
ko:K02422	cbm:CBF_2776
ko:K03563	cbm:CBF_2779
ko:K13626	cbm:CBF_2780
ko:K02397	cbm:CBF_2781
ko:K02396	cbm:CBF_2782
ko:K02398	cbm:CBF_2784
ko:K02417	cbm:CBF_2785
ko:K02416	cbm:CBF_2786
ko:K03408	cbm:CBF_2787
ko:K03413	cbm:CBF_2788
ko:K03410	cbm:CBF_2789
ko:K03407	cbm:CBF_2790
ko:K00997	cbm:CBF_3568
ko:K07058	cbm:CBF_3571
ko:K02986	cbm:CBF_3573
ko:K00820	cbm:CBF_3576
ko:K02781	cbm:CBF_3580
ko:K00177	cbm:CBF_3588
ko:K00175	cbm:CBF_3589
ko:K00174	cbm:CBF_3590
ko:K00176	cbm:CBF_3591
ko:K07137	cbm:CBF_3596
ko:K01449	cbm:CBF_3599
ko:K00384	cbm:CBF_3600
ko:K03671	cbm:CBF_3601
ko:K01305	cbm:CBF_3602
ko:K01678	cbm:CBF_3608
ko:K01677	cbm:CBF_3609
ko:K01448	cbm:CBF_3610
ko:K03324	cbm:CBF_3611
ko:K02996	cbm:CBF_3612
ko:K02871	cbm:CBF_3613
ko:K06173	cbm:CBF_3614
ko:K09022	cbm:CBF_3026
ko:K06881	cbm:CBF_2463
ko:K06998	cbm:CBF_2211
ko:K03695	cbm:CBF_0455
ko:K01809	cbm:CBF_0458
ko:K06153	cbm:CBF_0460
ko:K00655	cbm:CBF_0468
ko:K01681	cbm:CBF_0470
ko:K09779	cbm:CBF_0474
ko:K01579	cbm:CBF_0475
ko:K01918	cbm:CBF_0476
ko:K04651	cbm:CBF_0486
ko:K02029	cbm:CBF_0498
ko:K00788	cbm:CBF_0502
ko:K00878	cbm:CBF_0503
ko:K00941	cbm:CBF_0504
ko:K00806	cbm:CBF_1398
ko:K00198	cbm:CBF_1402
ko:K02003	cbm:CBF_1408
ko:K02016	cbm:CBF_1413
ko:K02015	cbm:CBF_1414
ko:K02013	cbm:CBF_1415
ko:K07106	cbm:CBF_1419
ko:K09957	cbm:CBF_1422
ko:K02034	cbm:CBF_1431
ko:K09816	cbm:CBF_1435
ko:K09817	cbm:CBF_1436
ko:K01308	cbm:CBF_1446
ko:K00878	cbm:CBF_2292
ko:K03826	cbm:CBF_2294
