ko:K00997	tpm:TPESAMD_0828
ko:K09766	tpm:TPESAMD_0829
ko:K06173	tpm:TPESAMD_0830
ko:K02493	tpm:TPESAMD_0052
ko:K01887	tpm:TPESAMD_0831
ko:K01866	tpm:TPESAMD_0834
ko:K01868	tpm:TPESAMD_0837
ko:K01265	tpm:TPESAMD_0842
ko:K00134	tpm:TPESAMD_0844
ko:K09768	tpm:TPESAMD_0845
ko:K02887	tpm:TPESAMD_0848
ko:K02916	tpm:TPESAMD_0849
ko:K02520	tpm:TPESAMD_0850
ko:K02078	tpm:TPESAMD_0808
ko:K03685	tpm:TPESAMD_0809
ko:K13292	tpm:TPESAMD_0852
ko:K04562	tpm:TPESAMD_0853
ko:K02902	tpm:TPESAMD_0362
ko:K03407	tpm:TPESAMD_0363
ko:K03408	tpm:TPESAMD_0364
ko:K03409	tpm:TPESAMD_0365
ko:K03413	tpm:TPESAMD_0366
ko:K03529	tpm:TPESAMD_0367
ko:K00919	tpm:TPESAMD_0371
ko:K02897	tpm:TPESAMD_0372
ko:K04075	tpm:TPESAMD_0373
ko:K03070	tpm:TPESAMD_0379
ko:K10843	tpm:TPESAMD_0380
ko:K03925	tpm:TPESAMD_0383
ko:K03438	tpm:TPESAMD_0384
ko:K01929	tpm:TPESAMD_0386
ko:K03588	tpm:TPESAMD_0387
ko:K03589	tpm:TPESAMD_0388
ko:K03590	tpm:TPESAMD_0389
ko:K03531	tpm:TPESAMD_0390
ko:K04763	tpm:TPESAMD_0391
ko:K04096	tpm:TPESAMD_0393
ko:K03168	tpm:TPESAMD_0394
ko:K02387	tpm:TPESAMD_0396
ko:K02388	tpm:TPESAMD_0397
ko:K02408	tpm:TPESAMD_0398
ko:K02409	tpm:TPESAMD_0399
ko:K02410	tpm:TPESAMD_0400
ko:K02411	tpm:TPESAMD_0401
ko:K02412	tpm:TPESAMD_0402
ko:K02413	tpm:TPESAMD_0403
ko:K01776	tpm:TPESAMD_0406
ko:K07025	tpm:TPESAMD_0407
ko:K14230	tpm:TPESAMD_t0037
ko:K14235	tpm:TPESAMD_t0014
ko:K00970	tpm:TPESAMD_0596
ko:K02062	tpm:TPESAMD_0142
ko:K14226	tpm:TPESAMD_t0032
ko:K01834	tpm:TPESAMD_0168
ko:K00850	tpm:TPESAMD_0108
ko:K14237	tpm:TPESAMD_t0036
ko:K16783	tpm:TPESAMD_0226
ko:K16784	tpm:TPESAMD_0227
ko:K07260	tpm:TPESAMD_0221
ko:K14219	tpm:TPESAMD_t0003
ko:K14219	tpm:TPESAMD_t0030
ko:K14237	tpm:TPESAMD_t0009
ko:K01980	tpm:TPESAMD_r0002
ko:K01980	tpm:TPESAMD_r0005
ko:K01985	tpm:TPESAMD_r0003
ko:K01985	tpm:TPESAMD_r0006
ko:K14234	tpm:TPESAMD_t0013
ko:K14234	tpm:TPESAMD_t0019
ko:K14234	tpm:TPESAMD_t0042
ko:K14230	tpm:TPESAMD_t0029
ko:K01977	tpm:TPESAMD_r0001
ko:K01977	tpm:TPESAMD_r0004
ko:K14227	tpm:TPESAMD_t0012
ko:K14218	tpm:TPESAMD_t0015
ko:K14218	tpm:TPESAMD_t0041
ko:K14218	tpm:TPESAMD_t0045
ko:K14236	tpm:TPESAMD_t0020
ko:K01978	tpm:TPESAMD_nc0003
ko:K14229	tpm:TPESAMD_t0021
ko:K14229	tpm:TPESAMD_t0039
ko:K14220	tpm:TPESAMD_t0024
ko:K14222	tpm:TPESAMD_t0025
ko:K14232	tpm:TPESAMD_t0027
ko:K14232	tpm:TPESAMD_t0034
ko:K14232	tpm:TPESAMD_t0038
ko:K14221	tpm:TPESAMD_t0028
ko:K14231	tpm:TPESAMD_t0033
ko:K14225	tpm:TPESAMD_t0017
ko:K14225	tpm:TPESAMD_t0023
ko:K14219	tpm:TPESAMD_t0035
ko:K14228	tpm:TPESAMD_t0040
ko:K14228	tpm:TPESAMD_t0044
ko:K14237	tpm:TPESAMD_t0043
ko:K00895	tpm:TPESAMD_0542
ko:K09810	tpm:TPESAMD_0581
ko:K01983	tpm:TPESAMD_nc0001
ko:K14233	tpm:TPESAMD_t0001
ko:K14233	tpm:TPESAMD_t0002
ko:K14233	tpm:TPESAMD_t0004
ko:K14233	tpm:TPESAMD_t0005
ko:K14219	tpm:TPESAMD_t0031
ko:K14219	tpm:TPESAMD_t0026
ko:K14223	tpm:TPESAMD_t0006
ko:K14223	tpm:TPESAMD_t0018
ko:K14224	tpm:TPESAMD_t0007
ko:K14224	tpm:TPESAMD_t0008
ko:K14228	tpm:TPESAMD_t0016
ko:K14228	tpm:TPESAMD_t0022
ko:K14230	tpm:TPESAMD_t0011
ko:K07091	tpm:TPESAMD_0884
ko:K11720	tpm:TPESAMD_0883
ko:K11070	tpm:TPESAMD_0654
ko:K15035	tpm:TPESAMD_nc0002
ko:K10112	tpm:TPESAMD_0804
ko:K01992	tpm:TPESAMD_0880
ko:K01990	tpm:TPESAMD_0881
ko:K14228	tpm:TPESAMD_t0010
