ko:K03486	bamt:AJ82_04455
ko:K05520	bamt:AJ82_04480
ko:K02529	bamt:AJ82_04485
ko:K00014	bamt:AJ82_04495
ko:K03785	bamt:AJ82_04500
ko:K01104	bamt:AJ82_04515
ko:K07058	bamt:AJ82_04525
ko:K07300	bamt:AJ82_04540
ko:K03284	bamt:AJ82_04580
ko:K01247	bamt:AJ82_04585
ko:K03215	bamt:AJ82_04590
ko:K00627	bamt:AJ82_04645
ko:K00382	bamt:AJ82_04650
ko:K06425	bamt:AJ82_04660
ko:K01232	bamt:AJ82_04665
ko:K03481	bamt:AJ82_04670
ko:K02749	bamt:AJ82_04675
ko:K02750	bamt:AJ82_04675
ko:K03147	bamt:AJ82_05040
ko:K02035	bamt:AJ82_05055
ko:K02033	bamt:AJ82_05060
ko:K02034	bamt:AJ82_05065
ko:K03781	bamt:AJ82_05080
ko:K07045	bamt:AJ82_05085
ko:K15555	bamt:AJ82_05095
ko:K15553	bamt:AJ82_05100
ko:K15554	bamt:AJ82_05105
ko:K04091	bamt:AJ82_05110
ko:K02954	bamt:AJ82_05120
ko:K03216	bamt:AJ82_05155
ko:K07180	bamt:AJ82_05180
ko:K09786	bamt:AJ82_05190
ko:K03809	bamt:AJ82_05210
ko:K01990	bamt:AJ82_05230
ko:K03704	bamt:AJ82_05245
ko:K02073	bamt:AJ82_05255
ko:K06956	bamt:AJ82_05265
ko:K01081	bamt:AJ82_05290
ko:K07284	bamt:AJ82_05295
ko:K06180	bamt:AJ82_05300
ko:K02443	bamt:AJ82_05335
ko:K02440	bamt:AJ82_05340
ko:K03100	bamt:AJ82_06015
ko:K07120	bamt:AJ82_06030
ko:K16899	bamt:AJ82_06060
ko:K16898	bamt:AJ82_06065
ko:K03547	bamt:AJ82_06070
ko:K06304	bamt:AJ82_06085
ko:K06303	bamt:AJ82_06090
ko:K06302	bamt:AJ82_06095
ko:K06301	bamt:AJ82_06100
ko:K06300	bamt:AJ82_06105
ko:K06299	bamt:AJ82_06110
ko:K01953	bamt:AJ82_06150
ko:K02291	bamt:AJ82_06155
ko:K06895	bamt:AJ82_06175
ko:K09767	bamt:AJ82_06205
ko:K00243	bamt:AJ82_06210
ko:K07335	bamt:AJ82_06215
