ko:K03151	ssui:T15_1178
ko:K04487	ssui:T15_1179
ko:K01620	ssui:T15_1184
ko:K02967	ssui:T15_2052
ko:K02601	ssui:T15_2055
ko:K03073	ssui:T15_2056
ko:K02913	ssui:T15_2057
ko:K12555	ssui:T15_2058
ko:K06180	ssui:T15_2060
ko:K09685	ssui:T15_2061
ko:K03698	ssui:T15_2063
ko:K09760	ssui:T15_2064
ko:K00949	ssui:T15_2065
ko:K01783	ssui:T15_2066
ko:K06949	ssui:T15_2067
ko:K02528	ssui:T15_2071
ko:K03574	ssui:T15_2075
ko:K05985	ssui:T15_2079
ko:K03424	ssui:T15_2080
ko:K02914	ssui:T15_2081
ko:K06346	ssui:T15_2084
ko:K03217	ssui:T15_2085
ko:K03536	ssui:T15_2086
ko:K01755	ssui:T15_2087
ko:K01940	ssui:T15_2088
ko:K16788	ssui:T15_2089
ko:K07105	ssui:T15_2090
ko:K09698	ssui:T15_2094
ko:K01673	ssui:T15_2099
ko:K04485	ssui:T15_2100
ko:K00057	ssui:T15_2108
ko:K00963	ssui:T15_2109
ko:K08303	ssui:T15_0498
ko:K15770	ssui:T15_0504
ko:K15771	ssui:T15_0505
ko:K15772	ssui:T15_0506
ko:K03523	ssui:T15_0508
ko:K00383	ssui:T15_0510
ko:K02005	ssui:T15_0511
ko:K02003	ssui:T15_0512
ko:K02004	ssui:T15_0513
ko:K04567	ssui:T15_0515
ko:K03976	ssui:T15_0517
ko:K08974	ssui:T15_0518
ko:K16789	ssui:T15_0519
ko:K07273	ssui:T15_0520
ko:K03588	ssui:T15_0523
ko:K01595	ssui:T15_0524
ko:K03088	ssui:T15_0525
ko:K02358	ssui:T15_0527
ko:K01803	ssui:T15_0528
ko:K06885	ssui:T15_0530
ko:K01537	ssui:T15_0533
ko:K02836	ssui:T15_0538
ko:K09812	ssui:T15_0539
ko:K09811	ssui:T15_0540
ko:K04759	ssui:T15_0542
ko:K04758	ssui:T15_0543
ko:K15051	ssui:T15_0547
ko:K07025	ssui:T15_0551
ko:K11031	ssui:T15_0552
ko:K01788	ssui:T15_0553
ko:K02778	ssui:T15_0554
ko:K02779	ssui:T15_0554
ko:K02337	ssui:T15_1437
ko:K01990	ssui:T15_1439
ko:K01488	ssui:T15_1441
ko:K07491	ssui:T15_1444
ko:K03086	ssui:T15_1450
ko:K03282	ssui:T15_1452
ko:K01784	ssui:T15_1453
ko:K02970	ssui:T15_1454
ko:K00688	ssui:T15_1462
ko:K03784	ssui:T15_1463
ko:K03783	ssui:T15_1464
ko:K01839	ssui:T15_1466
ko:K01807	ssui:T15_1467
ko:K03650	ssui:T15_1470
ko:K07192	ssui:T15_1473
ko:K03744	ssui:T15_1474
ko:K07862	ssui:T15_1479
ko:K03431	ssui:T15_1485
ko:K01928	ssui:T15_1488
ko:K07009	ssui:T15_1489
ko:K00563	ssui:T15_1490
ko:K06158	ssui:T15_1492
ko:K00867	ssui:T15_0856
ko:K00564	ssui:T15_0857
ko:K00756	ssui:T15_0858
ko:K01619	ssui:T15_0859
ko:K01489	ssui:T15_0860
ko:K07335	ssui:T15_0861
ko:K02056	ssui:T15_0862
ko:K02057	ssui:T15_0863
ko:K02057	ssui:T15_0864
ko:K00016	ssui:T15_0867
ko:K02469	ssui:T15_0868
ko:K03630	ssui:T15_0870
ko:K07010	ssui:T15_0871
ko:K16785	ssui:T15_0276
ko:K16786	ssui:T15_0277
ko:K16787	ssui:T15_0277
ko:K00869	ssui:T15_0280
ko:K01597	ssui:T15_0281
ko:K00938	ssui:T15_0282
ko:K01823	ssui:T15_0283
ko:K07166	ssui:T15_0288
ko:K09157	ssui:T15_0289
ko:K03705	ssui:T15_0293
ko:K03687	ssui:T15_0294
ko:K04043	ssui:T15_0295
ko:K03686	ssui:T15_0297
