ko:K14232	cpsn:B712_1083
ko:K14221	cpsn:B712_0566
ko:K14237	cpsn:B712_0567
ko:K14236	cpsn:B712_0572
ko:K14230	cpsn:B712_0656
ko:K14230	cpsn:B712_0657
ko:K14230	cpsn:B712_0753
ko:K14235	cpsn:B712_0747
ko:K14222	cpsn:B712_0926
ko:K01977	cpsn:B712_0947
ko:K14225	cpsn:B712_0986
ko:K14234	cpsn:B712_0749
ko:K14237	cpsn:B712_0831
ko:K01840	cpsn:B712_0374
ko:K06972	cpsn:B712_0837
ko:K00346	cpsn:B712_0002
ko:K00813	cpsn:B712_0006
ko:K03582	cpsn:B712_0009
ko:K03583	cpsn:B712_0010
ko:K07146	cpsn:B712_0012
ko:K02986	cpsn:B712_0013
ko:K01151	cpsn:B712_0014
ko:K03980	cpsn:B712_0016
ko:K03224	cpsn:B712_0041
ko:K02417	cpsn:B712_0044
ko:K03219	cpsn:B712_0046
ko:K02838	cpsn:B712_0053
ko:K09903	cpsn:B712_0054
ko:K02357	cpsn:B712_0055
ko:K02967	cpsn:B712_0056
ko:K03162	cpsn:B712_0058
ko:K09015	cpsn:B712_0063
ko:K11717	cpsn:B712_0064
ko:K09013	cpsn:B712_0062
ko:K07220	cpsn:B712_0071
ko:K03306	cpsn:B712_0072
ko:K00927	cpsn:B712_0073
ko:K07081	cpsn:B712_0258
ko:K02433	cpsn:B712_0321
ko:K03043	cpsn:B712_0740
ko:K03977	cpsn:B712_0993
ko:K05810	cpsn:B712_0460
ko:K02400	cpsn:B712_0471
ko:K04077	cpsn:B712_1052
ko:K08274	cpsn:B712_0786
ko:K08275	cpsn:B712_0494
ko:K18707	cpsn:B712_0295
ko:K06861	cpsn:B712_0023
ko:K03825	cpsn:B712_0190
ko:K03497	cpsn:B712_0068
ko:K03111	cpsn:B712_0447
ko:K03496	cpsn:B712_1028
ko:K03496	cpsn:B712_p0007
ko:K02626	cpsn:B712_0781
ko:K11991	cpsn:B712_0813
ko:K04771	cpsn:B712_0839
ko:K11749	cpsn:B712_0486
ko:K19405	cpsn:B712_0049
ko:K19411	cpsn:B712_0050
ko:K00500	cpsn:B712_0765
ko:K07033	cpsn:B712_0061
ko:K01802	cpsn:B712_0090
ko:K03309	cpsn:B712_0246
ko:K12132	cpsn:B712_0725
ko:K20074	cpsn:B712_0436
ko:K20265	cpsn:B712_0544
ko:K01214	cpsn:B712_0445
ko:K22099	cpsn:B712_1069
ko:K00526	cpsn:B712_0833
ko:K02335	cpsn:B712_0144
ko:K01520	cpsn:B712_0377
ko:K02314	cpsn:B712_0139
ko:K02316	cpsn:B712_0889
ko:K02314	cpsn:B712_p0003
ko:K03553	cpsn:B712_1067
ko:K00287	cpsn:B712_1070
ko:K00525	cpsn:B712_0834
ko:K02031	cpsn:B712_0070
ko:K02050	cpsn:B712_0801
ko:K02051	cpsn:B712_0801
ko:K01829	cpsn:B712_0895
ko:K01534	cpsn:B712_0965
ko:K16239	cpsn:B712_0498
