ko:K04084	nmq:NMBM04240196_0701
ko:K00925	nmq:NMBM04240196_0702
ko:K00991	nmq:NMBM04240196_0707
ko:K01770	nmq:NMBM04240196_0708
ko:K02520	nmq:NMBM04240196_1445
ko:K01868	nmq:NMBM04240196_1446
ko:K00773	nmq:NMBM04240196_1448
ko:K01772	nmq:NMBM04240196_1449
ko:K03820	nmq:NMBM04240196_1454
ko:K03089	nmq:NMBM04240196_1455
ko:K02340	nmq:NMBM04240196_1459
ko:K03643	nmq:NMBM04240196_1460
ko:K05810	nmq:NMBM04240196_1461
ko:K03453	nmq:NMBM04240196_1462
ko:K06180	nmq:NMBM04240196_1463
ko:K05807	nmq:NMBM04240196_1464
ko:K01696	nmq:NMBM04240196_1467
ko:K02528	nmq:NMBM04240196_1469
ko:K11754	nmq:NMBM04240196_1473
ko:K03558	nmq:NMBM04240196_1475
ko:K00764	nmq:NMBM04240196_1476
ko:K04760	nmq:NMBM04240196_1477
ko:K01817	nmq:NMBM04240196_1478
ko:K03685	nmq:NMBM04240196_1480
ko:K00794	nmq:NMBM04240196_1482
ko:K03625	nmq:NMBM04240196_1483
ko:K01465	nmq:NMBM04240196_1484
ko:K01963	nmq:NMBM04240196_1488
ko:K01695	nmq:NMBM04240196_1489
ko:K00979	nmq:NMBM04240196_1492
ko:K00997	nmq:NMBM04240196_0458
ko:K07444	nmq:NMBM04240196_0461
ko:K01448	nmq:NMBM04240196_0463
ko:K06925	nmq:NMBM04240196_0464
ko:K01776	nmq:NMBM04240196_0465
ko:K02968	nmq:NMBM04240196_0470
ko:K01876	nmq:NMBM04240196_0473
ko:K03319	nmq:NMBM04240196_0477
ko:K09789	nmq:NMBM04240196_0480
ko:K02169	nmq:NMBM04240196_0481
ko:K11003	nmq:NMBM04240196_0498
ko:K12340	nmq:NMBM04240196_0499
ko:K03675	nmq:NMBM04240196_0502
ko:K03561	nmq:NMBM04240196_0507
ko:K09861	nmq:NMBM04240196_1267
ko:K14267	nmq:NMBM04240196_1268
ko:K02655	nmq:NMBM04240196_1271
ko:K02673	nmq:NMBM04240196_1272
ko:K02672	nmq:NMBM04240196_1273
ko:K02671	nmq:NMBM04240196_1274
ko:K08084	nmq:NMBM04240196_1275
ko:K04564	nmq:NMBM04240196_1277
ko:K02046	nmq:NMBM04240196_1280
ko:K02047	nmq:NMBM04240196_1281
ko:K02045	nmq:NMBM04240196_1282
ko:K01754	nmq:NMBM04240196_1283
ko:K02897	nmq:NMBM04240196_1285
ko:K00948	nmq:NMBM04240196_1286
ko:K00919	nmq:NMBM04240196_1290
ko:K02494	nmq:NMBM04240196_1291
ko:K01918	nmq:NMBM04240196_1293
ko:K00606	nmq:NMBM04240196_1294
ko:K00797	nmq:NMBM04240196_1297
ko:K07018	nmq:NMBM04240196_1298
ko:K07056	nmq:NMBM04240196_2031
ko:K07460	nmq:NMBM04240196_2032
ko:K03271	nmq:NMBM04240196_2033
ko:K01265	nmq:NMBM04240196_2036
ko:K00116	nmq:NMBM04240196_2039
ko:K02967	nmq:NMBM04240196_2043
ko:K02357	nmq:NMBM04240196_2044
ko:K09903	nmq:NMBM04240196_2045
ko:K04773	nmq:NMBM04240196_2066
ko:K01940	nmq:NMBM04240196_2068
ko:K07862	nmq:NMBM04240196_2072
ko:K09800	nmq:NMBM04240196_2074
ko:K03305	nmq:NMBM04240196_2075
ko:K02836	nmq:NMBM04240196_2076
ko:K07001	nmq:NMBM04240196_2077
ko:K15977	nmq:NMBM04240196_2078
ko:K09930	nmq:NMBM04240196_2080
ko:K09929	nmq:NMBM04240196_2081
ko:K03088	nmq:NMBM04240196_2082
ko:K00609	nmq:NMBM04240196_0109
ko:K00610	nmq:NMBM04240196_0110
ko:K01462	nmq:NMBM04240196_0113
ko:K00604	nmq:NMBM04240196_0114
ko:K03500	nmq:NMBM04240196_0115
ko:K04096	nmq:NMBM04240196_0119
ko:K03168	nmq:NMBM04240196_0121
ko:K02358	nmq:NMBM04240196_0130
ko:K03073	nmq:NMBM04240196_0132
ko:K02601	nmq:NMBM04240196_0133
ko:K02867	nmq:NMBM04240196_0134
ko:K02863	nmq:NMBM04240196_0135
ko:K02864	nmq:NMBM04240196_0136
ko:K02935	nmq:NMBM04240196_0137
ko:K03043	nmq:NMBM04240196_0138
ko:K03046	nmq:NMBM04240196_0139
ko:K02950	nmq:NMBM04240196_0143
ko:K02992	nmq:NMBM04240196_0144
ko:K02355	nmq:NMBM04240196_0145
ko:K02358	nmq:NMBM04240196_0146
ko:K02946	nmq:NMBM04240196_0147
ko:K02906	nmq:NMBM04240196_0149
ko:K02926	nmq:NMBM04240196_0150
ko:K02892	nmq:NMBM04240196_0151
ko:K02886	nmq:NMBM04240196_0152
ko:K02965	nmq:NMBM04240196_0153
ko:K02890	nmq:NMBM04240196_0154
ko:K02982	nmq:NMBM04240196_0155
ko:K02878	nmq:NMBM04240196_0156
ko:K02904	nmq:NMBM04240196_0157
ko:K08307	nmq:NMBM04240196_0905
ko:K00655	nmq:NMBM04240196_0908
ko:K11107	nmq:NMBM04240196_0914
ko:K05589	nmq:NMBM04240196_0915
ko:K01689	nmq:NMBM04240196_0916
ko:K01627	nmq:NMBM04240196_0918
ko:K01579	nmq:NMBM04240196_0919
ko:K03723	nmq:NMBM04240196_0920
ko:K02168	nmq:NMBM04240196_0924
ko:K09795	nmq:NMBM04240196_0927
ko:K00865	nmq:NMBM04240196_0932
ko:K09823	nmq:NMBM04240196_0934
ko:K07075	nmq:NMBM04240196_0935
ko:K07478	nmq:NMBM04240196_0943
ko:K03427	nmq:NMBM04240196_0944
ko:K14652	nmq:NMBM04240196_0945
ko:K01933	nmq:NMBM04240196_0951
ko:K07154	nmq:NMBM04240196_1695
ko:K15125	nmq:NMBM04240196_1711
ko:K00145	nmq:NMBM04240196_1721
ko:K03655	nmq:NMBM04240196_1722
ko:K03071	nmq:NMBM04240196_1723
ko:K08301	nmq:NMBM04240196_1725
