ko:K00805	banr:A16R_15960
ko:K00940	banr:A16R_15970
ko:K01736	banr:A16R_15980
ko:K01735	banr:A16R_15990
ko:K00817	banr:A16R_16000
ko:K03886	banr:A16R_16040
ko:K03887	banr:A16R_16050
ko:K03888	banr:A16R_16060
ko:K01868	banr:A16R_24470
ko:K02004	banr:A16R_24500
ko:K02034	banr:A16R_24550
ko:K07238	banr:A16R_24560
ko:K06994	banr:A16R_24670
ko:K03825	banr:A16R_24720
ko:K00231	banr:A16R_24780
ko:K03704	banr:A16R_24820
ko:K00133	banr:A16R_24950
ko:K00648	banr:A16R_33140
ko:K02003	banr:A16R_33180
ko:K02004	banr:A16R_33190
ko:K07734	banr:A16R_33280
ko:K00782	banr:A16R_33310
ko:K08174	banr:A16R_33400
ko:K11210	banr:A16R_41670
ko:K07177	banr:A16R_41920
ko:K07001	banr:A16R_41930
ko:K00954	banr:A16R_41950
ko:K02529	banr:A16R_49850
ko:K03817	banr:A16R_49920
ko:K00763	banr:A16R_49950
ko:K03466	banr:A16R_49960
ko:K06878	banr:A16R_49980
ko:K03439	banr:A16R_50050
ko:K01975	banr:A16R_50090
ko:K01439	banr:A16R_50110
ko:K06183	banr:A16R_50130
ko:K07007	banr:A16R_50150
