ko:K03270	xcf:J172_03144
ko:K11719	xcf:J172_03145
ko:K09774	xcf:J172_03146
ko:K06861	xcf:J172_03147
ko:K03092	xcf:J172_03148
ko:K05808	xcf:J172_03149
ko:K02806	xcf:J172_03150
ko:K06023	xcf:J172_03151
ko:K06958	xcf:J172_03152
ko:K02821	xcf:J172_03153
ko:K11189	xcf:J172_03154
ko:K08483	xcf:J172_03155
ko:K06213	xcf:J172_03156
ko:K00426	xcf:J172_03158
ko:K00425	xcf:J172_03159
ko:K01273	xcf:J172_03160
ko:K01728	xcf:J172_03162
ko:K18457	xcf:J172_03163
ko:K07782	xcf:J172_03164
ko:K03168	xcf:J172_03975
ko:K07566	xcf:J172_03976
ko:K08081	xcf:J172_03979
ko:K04773	xcf:J172_03981
ko:K03327	xcf:J172_03982
ko:K04066	xcf:J172_03986
ko:K03885	xcf:J172_03990
ko:K03089	xcf:J172_03992
ko:K03648	xcf:J172_03993
ko:K09811	xcf:J172_03995
ko:K09812	xcf:J172_03996
ko:K03732	xcf:J172_03997
ko:K03671	xcf:J172_03998
ko:K03628	xcf:J172_03999
ko:K00906	xcf:J172_04000
ko:K00031	xcf:J172_04003
ko:K07012	xcf:J172_04005
ko:K19119	xcf:J172_04006
ko:K19117	xcf:J172_04007
ko:K19117	xcf:J172_04008
ko:K19118	xcf:J172_04009
ko:K07464	xcf:J172_04010
ko:K15342	xcf:J172_04011
ko:K09951	xcf:J172_04012
ko:K06879	xcf:J172_04015
ko:K07799	xcf:J172_04017
ko:K07788	xcf:J172_04018
ko:K07789	xcf:J172_04019
ko:K07025	xcf:J172_04023
ko:K00059	xcf:J172_00189
ko:K00355	xcf:J172_00194
ko:K07483	xcf:J172_00196
ko:K03671	xcf:J172_00214
ko:K03762	xcf:J172_00215
ko:K03924	xcf:J172_00223
ko:K03568	xcf:J172_00226
ko:K03568	xcf:J172_00227
ko:K03841	xcf:J172_00229
ko:K00832	xcf:J172_00230
ko:K02014	xcf:J172_00231
ko:K00138	xcf:J172_00234
ko:K09959	xcf:J172_00235
ko:K10979	xcf:J172_00238
ko:K00101	xcf:J172_00239
ko:K03638	xcf:J172_01059
ko:K02835	xcf:J172_01061
ko:K02492	xcf:J172_01062
ko:K02494	xcf:J172_01064
ko:K00919	xcf:J172_01065
ko:K00948	xcf:J172_01067
ko:K02897	xcf:J172_01068
ko:K01056	xcf:J172_01069
ko:K06942	xcf:J172_01070
ko:K02358	xcf:J172_01074
ko:K03073	xcf:J172_01076
ko:K02601	xcf:J172_01077
ko:K02867	xcf:J172_01078
ko:K02863	xcf:J172_01079
ko:K02864	xcf:J172_01080
ko:K02935	xcf:J172_01081
ko:K03043	xcf:J172_01083
ko:K03046	xcf:J172_01084
ko:K02950	xcf:J172_01085
ko:K02992	xcf:J172_01086
ko:K02355	xcf:J172_01087
ko:K02358	xcf:J172_01088
ko:K02946	xcf:J172_01089
ko:K02906	xcf:J172_01090
ko:K02926	xcf:J172_01091
ko:K02892	xcf:J172_01092
ko:K02886	xcf:J172_01093
ko:K02965	xcf:J172_01094
ko:K02890	xcf:J172_01095
ko:K02982	xcf:J172_01096
ko:K02878	xcf:J172_01097
ko:K02904	xcf:J172_01098
ko:K02961	xcf:J172_01099
ko:K02874	xcf:J172_01100
ko:K02895	xcf:J172_01101
ko:K02931	xcf:J172_01102
ko:K02954	xcf:J172_01103
ko:K02994	xcf:J172_01104
ko:K02933	xcf:J172_01105
ko:K02881	xcf:J172_01106
ko:K02988	xcf:J172_01107
ko:K02907	xcf:J172_01108
ko:K02876	xcf:J172_01109
ko:K03076	xcf:J172_01110
ko:K02952	xcf:J172_01111
ko:K02948	xcf:J172_01112
ko:K02986	xcf:J172_01113
ko:K03040	xcf:J172_01114
ko:K07093	xcf:J172_01939
ko:K05349	xcf:J172_01940
ko:K03307	xcf:J172_01941
ko:K01218	xcf:J172_01943
ko:K15012	xcf:J172_01944
ko:K15011	xcf:J172_01945
ko:K03526	xcf:J172_01946
ko:K01779	xcf:J172_01949
ko:K00075	xcf:J172_01951
ko:K00254	xcf:J172_01952
ko:K00128	xcf:J172_01955
ko:K11936	xcf:J172_01958
ko:K11931	xcf:J172_01959
ko:K07326	xcf:J172_01961
ko:K15125	xcf:J172_01962
ko:K12524	xcf:J172_01967
ko:K00872	xcf:J172_01968
ko:K01733	xcf:J172_01970
ko:K01892	xcf:J172_01973
ko:K00765	xcf:J172_01975
ko:K00013	xcf:J172_01976
ko:K00817	xcf:J172_01977
ko:K01089	xcf:J172_01978
ko:K02501	xcf:J172_01979
ko:K01814	xcf:J172_01980
ko:K02500	xcf:J172_01981
ko:K11755	xcf:J172_01982
ko:K09880	xcf:J172_01985
ko:K08967	xcf:J172_01986
ko:K08964	xcf:J172_01987
ko:K03294	xcf:J172_01988
ko:K03294	xcf:J172_01989
ko:K03702	xcf:J172_02799
ko:K07483	xcf:J172_02807
ko:K07483	xcf:J172_02837
ko:K02655	xcf:J172_02838
ko:K02674	xcf:J172_02839
ko:K02672	xcf:J172_02840
ko:K02083	xcf:J172_00411
ko:K00681	xcf:J172_00415
