ko:K01142	ssuy:YB51_4120
ko:K03294	ssuy:YB51_4130
ko:K07052	ssuy:YB51_4145
ko:K07491	ssuy:YB51_4195
ko:K01835	ssuy:YB51_4200
ko:K01835	ssuy:YB51_4205
ko:K01598	ssuy:YB51_4215
ko:K01938	ssuy:YB51_4225
ko:K03823	ssuy:YB51_4260
ko:K04069	ssuy:YB51_4275
ko:K01961	ssuy:YB51_8075
ko:K02372	ssuy:YB51_8080
ko:K02160	ssuy:YB51_8085
ko:K09458	ssuy:YB51_8090
ko:K00059	ssuy:YB51_8095
ko:K00645	ssuy:YB51_8100
ko:K02371	ssuy:YB51_8105
ko:K02078	ssuy:YB51_8110
ko:K00648	ssuy:YB51_8115
ko:K18474	ssuy:YB51_8125
ko:K00928	ssuy:YB51_8135
ko:K01775	ssuy:YB51_8140
ko:K00997	ssuy:YB51_8145
ko:K03070	ssuy:YB51_8150
ko:K00847	ssuy:YB51_8160
ko:K02808	ssuy:YB51_8165
ko:K02809	ssuy:YB51_8165
ko:K02810	ssuy:YB51_8165
ko:K02808	ssuy:YB51_8170
ko:K02809	ssuy:YB51_8170
ko:K02810	ssuy:YB51_8170
ko:K01193	ssuy:YB51_8175
ko:K03484	ssuy:YB51_8180
ko:K03625	ssuy:YB51_8185
ko:K02356	ssuy:YB51_8195
ko:K01262	ssuy:YB51_8200
ko:K03701	ssuy:YB51_8205
ko:K03284	ssuy:YB51_8210
ko:K02963	ssuy:YB51_8220
ko:K02990	ssuy:YB51_8230
ko:K03800	ssuy:YB51_8235
ko:K01223	ssuy:YB51_8240
ko:K01223	ssuy:YB51_8255
ko:K02761	ssuy:YB51_8260
ko:K02759	ssuy:YB51_8270
ko:K03491	ssuy:YB51_8275
ko:K02760	ssuy:YB51_8280
ko:K15383	ssuy:YB51_8285
ko:K01223	ssuy:YB51_8290
ko:K01759	ssuy:YB51_8295
ko:K01223	ssuy:YB51_8300
ko:K01625	ssuy:YB51_6085
ko:K00874	ssuy:YB51_6090
ko:K00046	ssuy:YB51_6100
ko:K07052	ssuy:YB51_6110
ko:K07052	ssuy:YB51_6120
ko:K07729	ssuy:YB51_6130
ko:K01872	ssuy:YB51_6160
ko:K07533	ssuy:YB51_6170
ko:K08602	ssuy:YB51_6190
ko:K06198	ssuy:YB51_6195
ko:K01874	ssuy:YB51_6200
ko:K01626	ssuy:YB51_6210
ko:K01626	ssuy:YB51_6215
ko:K00014	ssuy:YB51_6220
ko:K01735	ssuy:YB51_6225
ko:K05833	ssuy:YB51_6230
ko:K05832	ssuy:YB51_6235
ko:K01989	ssuy:YB51_6240
ko:K01989	ssuy:YB51_6245
ko:K01635	ssuy:YB51_6250
ko:K01443	ssuy:YB51_6255
ko:K02030	ssuy:YB51_6265
ko:K02028	ssuy:YB51_6270
ko:K02029	ssuy:YB51_6275
ko:K00820	ssuy:YB51_6280
ko:K03100	ssuy:YB51_6295
ko:K00873	ssuy:YB51_6320
ko:K00850	ssuy:YB51_6325
ko:K00783	ssuy:YB51_10050
ko:K01092	ssuy:YB51_5580
ko:K16509	ssuy:YB51_5590
ko:K10716	ssuy:YB51_5595
ko:K11753	ssuy:YB51_5600
ko:K03177	ssuy:YB51_5605
ko:K09155	ssuy:YB51_5615
ko:K01258	ssuy:YB51_5650
ko:K07088	ssuy:YB51_5660
ko:K10947	ssuy:YB51_5665
ko:K08987	ssuy:YB51_5690
ko:K00950	ssuy:YB51_5725
ko:K01633	ssuy:YB51_5730
ko:K00796	ssuy:YB51_5735
ko:K01495	ssuy:YB51_5740
ko:K03574	ssuy:YB51_5745
ko:K01890	ssuy:YB51_5770
ko:K01889	ssuy:YB51_5780
ko:K01207	ssuy:YB51_5785
ko:K01207	ssuy:YB51_5790
ko:K01686	ssuy:YB51_5805
ko:K01812	ssuy:YB51_5810
ko:K01625	ssuy:YB51_5815
ko:K01195	ssuy:YB51_5825
ko:K00874	ssuy:YB51_5830
ko:K09963	ssuy:YB51_9535
ko:K01223	ssuy:YB51_9540
ko:K01222	ssuy:YB51_9545
ko:K01869	ssuy:YB51_9550
ko:K07386	ssuy:YB51_9555
ko:K11709	ssuy:YB51_9560
ko:K11708	ssuy:YB51_9565
ko:K11710	ssuy:YB51_9570
ko:K11707	ssuy:YB51_9575
ko:K03709	ssuy:YB51_9580
ko:K07560	ssuy:YB51_9590
ko:K00951	ssuy:YB51_9595
ko:K01119	ssuy:YB51_9600
ko:K07150	ssuy:YB51_9610
ko:K07150	ssuy:YB51_9615
ko:K09761	ssuy:YB51_9625
ko:K02687	ssuy:YB51_9630
ko:K07478	ssuy:YB51_9640
ko:K02028	ssuy:YB51_9670
ko:K02029	ssuy:YB51_9675
ko:K02030	ssuy:YB51_9685
